,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
InvestmentandPrecisionCastings,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,
JagsonpalPharmaceuticals,<begin>-0.1531<end><begin>-0.1852<end><begin>-0.1531<end><begin>-0.1852<end>,<begin>0.1779<end><begin>-0.296<end><begin>-0.2306<end><begin>0.347<end><begin>0.0<end><begin>0.5945<end><begin>-0.0772<end><begin>0.9287<end><begin>-0.8126<end><begin>-0.0516<end><begin>0.1779<end><begin>-0.1027<end><begin>-0.296<end><begin>0.197<end><begin>0.347<end><begin>0.0<end><begin>0.5945<end><begin>0.1531<end><begin>0.9287<end>,,,,,,,<begin>0.1779<end><begin>-0.0258<end><begin>0.1779<end><begin>-0.0258<end>,,,<begin>0.8271<end><begin>0.8934<end>
JayKayEnterprises,,<begin>-0.4019<end><begin>0.2732<end><begin>0.5267<end><begin>0.0<end><begin>0.0<end><begin>-0.5681<end><begin>0.9774<end><begin>0.9803<end><begin>-0.296<end><begin>0.5574<end><begin>0.3535<end><begin>0.296<end><begin>0.9304<end><begin>0.9374<end><begin>0.7579<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.6705<end><begin>0.0<end><begin>-0.4215<end><begin>0.7804<end><begin>0.296<end><begin>0.3182<end><begin>0.0<end><begin>0.5859<end><begin>0.5859<end><begin>0.1531<end><begin>0.8519<end>,,<begin>0.0<end><begin>0.6369<end><begin>0.4939<end>,,<begin>0.3818<end>,,,,,<begin>-0.5106<end>,<begin>0.4767<end>
JindalPolyFilms,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,
SanghviMovers,<begin>0.1697<end>,<begin>0.3818<end><begin>0.2732<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.5423<end><begin>0.0803<end><begin>-0.296<end><begin>-0.1082<end><begin>0.296<end><begin>0.0<end><begin>0.4939<end>,,,,,,,<begin>0.9688<end><begin>0.7269<end>,,,<begin>0.8608<end>
ShantivijayJewels,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,
Trent,,,,,,,,,,,,
